,Regions,Cells [mm-3],Neurons [mm-3],Glia [mm-3],Excitatory [mm-3],Inhibitory [mm-3],Modulatory [mm-3],Astrocytes [mm-3],Oligodendrocytes [mm-3],Microglia [mm-3],acronym
505,Subparafascicular nucleus magnocellular part,199234.899329,119932.885906,79302.0134228,114362.416107,2550.33557047,3020.13422819,6966.44295302,46335.5704698,26000.0,SPFm
506,Subparafascicular nucleus parvicellular part,144662.969005,68990.5383361,75672.4306688,56319.3039695,10979.8803698,1691.35399674,8463.7302882,59580.206634,7628.4937466,SPFp
507,Subparafascicular area,151353.282715,83623.0460027,67730.2367128,80678.8744975,343.010272443,2601.16123269,8803.93032604,33600.7146047,25325.591782,SPA
508,Peripeduncular nucleus,166945.141729,79108.7293753,87836.4123537,38105.7678748,39775.4900578,1227.47144267,13511.2113947,68223.9458468,6101.25511211,PP
509,Geniculate group dorsal thalamus,153001.299845,75352.7611221,77648.5387228,72087.5508407,2385.67654828,879.533733071,13711.6021636,50482.9552602,13453.981299,GENd
510,Medial geniculate complex,153954.695147,81329.524572,72625.1705755,77423.9187788,2926.29318972,979.312603482,15571.1868416,45990.4295773,11063.5541566,MG
511,Medial geniculate complex dorsal part,152897.93475,81561.2092188,71336.7255313,80967.3750374,47.8898533373,545.944328045,14941.6342412,43230.1706076,13164.9206824,MGd
512,Medial geniculate complex ventral part,157754.366997,85491.9079636,72262.459033,79584.2821908,4997.26323614,910.362536744,18564.0436531,44540.7304794,9157.6849005,MGv
513,Medial geniculate complex medial part,145760.0,70805.3333333,74954.6666667,68149.3333333,1024.0,1632.0,8890.66666667,52640.0,13424.0,MGm
514,Dorsal part of the lateral geniculate complex,151705.403734,67228.8858662,84476.5178682,64834.1288488,1650.84703846,743.909978979,11183.9742797,56589.3903796,16703.1532089,LGd
515,Thalamus polymodal association cortex related,158904.233486,83768.317419,75135.9160671,71525.7814505,10880.7976176,1361.7383509,9861.60068845,41452.6195103,23821.6958684,DORpm
516,Lateral group of the dorsal thalamus,133991.874621,63452.770364,70539.1042571,62505.4877666,227.454860942,719.827736392,8291.84465613,39073.1771904,23174.0824106,LAT
517,Lateral posterior nucleus of the thalamus,136277.490564,61932.3446808,74345.1458829,61129.7830092,204.933722116,597.627949411,7269.99517003,41595.8211839,25479.329529,LP
518,Posterior complex of the thalamus,128459.76883,62144.823827,66314.9450027,61406.8680205,97.499615648,640.456190862,9130.07868733,34406.6304211,22778.2358943,PO
519,Posterior limiting nucleus of the thalamus,133862.59542,61055.4982463,72807.0971735,58005.3641428,1459.04683309,1591.08727048,6701.05219724,48538.0647823,17567.9801939,POL
520,Suprageniculate nucleus,176354.884379,95199.6224634,81155.261916,93830.4231556,10.0676419695,1359.13166588,10268.9948089,54979.3927953,15906.8743118,SGN
521,Anterior group of the dorsal thalamus,156084.5925,80239.4094098,75845.1830903,77638.6968818,1603.58467698,997.12785103,12261.2406802,42188.2396151,21395.702795,ATN
522,Anteroventral nucleus of thalamus,165372.112642,85982.0833166,79390.0293255,82207.8495963,2843.53030973,930.703410597,15086.6508657,40107.6607882,24195.7176716,AV
523,Anteromedial nucleus,147127.914636,78769.0686339,68358.8460018,76366.223159,1743.1168489,659.728626004,10165.7225662,44941.6414175,13251.4820182,AM
524,Anteromedial nucleus dorsal part,147325.006287,78107.4691927,69217.5370945,77434.1520664,109.984072429,563.333053902,9638.36029843,43897.0575907,15682.1192053,AMd
525,Anteromedial nucleus ventral part,146405.164464,81195.2044267,65209.9600369,72450.0461113,7731.93974792,1013.21856748,12099.6003689,48772.2102674,4338.14940055,AMv
526,Anterodorsal nucleus,226411.119239,127660.570593,98750.5486467,122498.902707,2967.08119971,2194.58668617,14156.5471836,46080.4681785,38513.5332846,AD
527,Interanteromedial nucleus of the thalamus,141966.572059,80247.2406181,61719.3314412,78491.3276569,20.1829076001,1735.73005361,8759.38189845,17982.9706717,34976.978871,IAM
528,Interanterodorsal nucleus of the thalamus,167103.515246,82035.3466693,85068.1685764,81140.4156147,0.0,894.931054574,6885.99728103,47965.8186056,30216.3526898,IAD
529,Lateral dorsal nucleus of thalamus,144071.143423,70077.8293467,73993.3140761,68122.1641621,1007.4324105,948.232774009,12445.4253351,41744.0524488,19803.8362922,LD
530,Medial group of the dorsal thalamus,149117.122563,78392.6250567,70724.4975064,77216.8656491,56.8233338371,1118.93607375,6603.59679613,31776.9381895,32343.9625208,MED
531,Intermediodorsal nucleus of the thalamus,163161.361142,96289.791438,66871.5697036,94208.5620198,48.2985729967,2032.93084523,7279.91218441,22265.6421515,37326.0153677,IMD
532,Mediodorsal nucleus of thalamus,148145.768539,75957.9544112,72187.8141281,74989.5935856,33.5944779077,934.766347782,6748.29074971,31551.9336509,33887.5897274,MD
533,Mediodorsal nucleus of the thalamus central part,145624.990658,75392.870488,70232.1201704,74632.3892086,14.3487033854,746.132576041,5567.29691353,32007.1743517,32657.6489052,MDc
534,Mediodorsal nucleus of the thalamus lateral part,155194.746846,79998.3411094,75196.405737,78943.286677,24.3303957145,1030.72403663,7666.28650423,34493.8655607,33036.253672,MDl
535,Mediodorsal nucleus of the thalamus medial part,143122.259273,72731.1358338,70391.1234397,71754.7141972,49.1043763095,927.317260306,6430.78466669,28860.152861,35100.185912,MDm
536,Submedial nucleus of the thalamus,140330.919465,72782.3860727,67548.5333919,71560.5295882,168.531928901,1053.32455563,5435.15470704,42170.4337649,19942.9449199,SMT
537,Perireunensis nucleus,141682.137834,79347.3980309,62334.7398031,76781.9971871,315.049226442,2250.35161744,3150.49226442,41406.4697609,17777.7777778,PR
538,Midline group of the dorsal thalamus,166583.179536,97642.7429915,68940.4365444,91329.7796657,3999.46385673,2313.49946901,8223.94292136,32603.4498758,28113.0437472,MTN
539,Paraventricular nucleus of the thalamus,185677.623762,110471.287129,75206.3366337,105042.376238,3182.57425743,2246.33663366,8106.13861386,29823.3663366,37276.8316832,PVT
540,Parataenial nucleus,142179.431072,66198.6870897,75980.7439825,64588.1838074,308.096280088,1302.40700219,7520.35010941,42314.2231947,26146.1706783,PT
541,Nucleus of reunions,155026.238698,92777.0026766,62249.2360218,84805.4964277,5406.05702965,2565.44921916,8459.77786676,33099.959957,20689.4981981,RE
542,Intralaminar nuclei of the dorsal thalamus,169359.920472,94435.023293,74924.8971795,92484.5720523,160.302516422,1790.14872425,9905.07377736,34091.4176559,30928.4057463,ILM
543,Rhomboid nucleus,179260.769392,109559.170565,69701.5988271,107847.797249,111.708440969,1599.66487468,8628.35998045,26841.304196,34231.9346506,RH
544,Central medial nucleus of the thalamus,172350.966107,99717.4532784,72633.5128286,97710.4846373,225.530566994,1781.43807412,9773.83592018,30104.5296167,32755.1472917,CM
545,Paracentral nucleus,151794.553495,78965.9399488,72828.6135464,78186.3604624,44.6892699201,734.890216464,9061.99084491,36749.4762976,27017.1464039,PCN
546,Central lateral nucleus of the thalamus,146173.754758,76670.0866016,69503.668156,75579.2376855,120.028683325,970.820232776,11956.9750124,32711.3464615,24835.3466821,CL
547,Parafascicular nucleus,182774.594645,99789.934081,82984.6605642,96818.769721,199.943765816,2771.22059421,9757.25577181,40192.6958043,33034.7089881,PF
548,Reticular nucleus of the thalamus,142042.724807,69417.6774656,72625.0473412,0.0,68227.3606633,1190.31680229,9783.91934081,59626.5520242,3214.57597625,RT
549,Geniculate group ventral thalamus,164225.894525,75849.0587728,88376.8357523,50578.3014801,23699.9568904,1570.80040236,14096.7380371,58406.5526656,15873.5450496,GENv
550,Intergeniculate leaflet of the lateral geniculate complex,156873.50372,70325.4610159,86548.0427046,52373.9890003,16098.3500485,1853.121967,11450.016176,54879.3270786,20218.69945,IGL
551,Ventral part of the lateral geniculate complex,163521.069841,75250.9643999,88270.1054411,50113.2297292,23623.4982916,1514.236379,14665.0501488,58721.334362,14883.7209302,LGv
552,Subgeniculate nucleus,210593.974175,112022.955524,98571.0186514,51695.8393113,58903.8737446,1423.24246772,14737.446198,67902.4390244,15931.133429,SubG
553,Epithalamus,294380.190387,177275.477428,117104.712959,173874.204287,852.187116744,2549.08602465,17398.8203002,56457.3964843,43248.4961747,EPI
554,Medial habenula,446696.313298,292787.835318,153908.47798,288018.361785,1326.63893272,3442.83460049,27349.8780663,69485.5831301,57073.0167838,MH
555,Lateral habenula,189790.386131,97957.4468085,91832.9393223,95495.6658786,526.398739165,1935.3821907,10565.7998424,47511.4263199,33755.71316,LH
556,Hypothalamus,148674.130608,83200.7111887,65473.4194194,63346.0839875,18059.9141106,1794.71309061,10837.131683,49323.393212,5312.89452438,HY
557,Periventricular zone,205955.146912,133838.41695,72116.729962,110372.176694,21505.1768939,1961.06336198,16882.0307815,34855.2468519,20379.4523286,PVZ
558,Supraoptic nucleus,161030.461271,104912.097476,56118.3637946,104271.54047,250.652741514,389.904264578,19662.3150566,36456.048738,0.0,SO
559,Accessory supraoptic group,173714.285714,115809.52381,57904.7619048,68571.4285714,46476.1904762,761.904761905,6857.14285714,51047.6190476,0.0,ASO
560,Nucleus circularis,173714.285714,115809.52381,57904.7619048,68571.4285714,46476.1904762,761.904761905,6857.14285714,51047.6190476,0.0,NC
561,Paraventricular hypothalamic nucleus,181181.64546,109889.573378,71292.0720824,84295.4689389,23088.4909897,2505.61344925,12277.5059013,40826.7603201,18187.805861,PVH
562,Paraventricular hypothalamic nucleus magnocellular division,277413.353338,198169.542386,79243.8109527,163312.828207,30607.651913,4249.06226557,17668.4171043,37881.4703676,23693.9234809,PVHm
563,Paraventricular hypothalamic nucleus magnocellular division medial magnocellular part,310951.724138,225544.827586,85406.8965517,165296.551724,56386.2068966,3862.06896552,18096.5517241,33434.4827586,33875.862069,PVHmm
564,Paraventricular hypothalamic nucleus magnocellular division posterior magnocellular part,268088.207095,190558.005753,77530.2013423,162761.26558,23440.0767018,4356.66347076,17549.3767977,39117.9290508,20862.8954938,PVHpm
565,Paraventricular hypothalamic nucleus magnocellular division posterior magnocellular part lateral zone,266678.941312,189716.915995,76962.0253165,161509.781358,23677.7905639,4529.34407365,16754.8906789,40064.4418872,20142.6927503,PVHpml
566,Paraventricular hypothalamic nucleus magnocellular division posterior magnocellular part medial zone,275126.436782,194758.62069,80367.816092,169011.494253,22252.8735632,3494.25287356,21517.2413793,34390.8045977,24459.7701149,PVHpmm
567,Paraventricular hypothalamic nucleus parvicellular division,163732.571584,93882.336938,69850.234646,69967.7616813,21725.0901177,2189.48513909,11300.0068013,41360.8107189,17189.4171258,PVHp
568,Paraventricular hypothalamic nucleus parvicellular division anterior parvicellular part,130338.939198,51053.0401035,79285.8990944,18349.2884864,31192.7554981,1510.99611902,4450.19404916,64476.0672704,10359.6377749,PVHap
569,Paraventricular hypothalamic nucleus parvicellular division medial parvicellular part dorsal zone,213483.833039,145558.29904,67925.5339996,130144.620811,12340.9758965,3072.70233196,17069.1749951,25898.4910837,24957.8679208,PVHmpd
570,Paraventricular hypothalamic nucleus parvicellular division periventricular part,149864.168618,94220.1405152,55644.028103,73517.5644028,18604.2154567,2098.36065574,15081.9672131,22613.5831382,17948.4777518,PVHpv
571,Periventricular hypothalamic nucleus anterior part,199409.761635,141475.595914,57934.1657208,93203.1782066,46274.6878547,1997.72985244,28149.8297389,13802.4971623,15981.8388195,PVa
572,Periventricular hypothalamic nucleus intermediate part,182365.34296,128664.259928,53701.0830325,119312.635379,7168.23104693,2183.39350181,18425.9927798,17143.6823105,18131.4079422,PVi
573,Arcuate hypothalamic nucleus,252359.00671,164108.963698,88250.043012,133406.434593,29216.0348684,1486.49423639,19030.796582,41999.8853014,27219.3611286,ARH
574,Periventricular region,160349.517659,91365.2767812,68984.240878,64692.2320551,24848.9197162,1824.12500997,10433.2296899,49372.5583991,9178.45278907,PVR
575,Anterodorsal preoptic nucleus,136639.118457,67677.2924046,68961.8260527,20048.7996852,45663.9118457,1964.58087367,4709.95670996,61808.7367178,2443.13262495,ADP
576,Anteroventral preoptic nucleus,120212.014134,56466.4310954,63745.5830389,34798.5865724,20961.130742,706.713780919,9031.80212014,52339.2226148,2374.55830389,AVP
577,Anteroventral periventricular nucleus,166210.390726,94131.3868613,72079.0038643,53681.4083298,39075.9982825,1373.98024903,10634.6071275,46165.7363675,15278.6603693,AVPV
578,Dorsomedial nucleus of the hypothalamus,208920.512899,131308.139356,77612.3735432,116776.728883,11624.7347868,2906.67568648,11266.5662188,57053.1041481,9292.70317641,DMH
579,Dorsomedial nucleus of the hypothalamus anterior part,186835.775202,115040.454844,71795.3203586,103315.98513,9030.39580144,2694.07391209,11007.2162694,54203.3675924,6584.73649683,DMHa
580,Dorsomedial nucleus of the hypothalamus posterior part,253039.218825,167740.035217,85299.1836081,153192.252281,11248.9194814,3298.86345446,11822.6348647,55568.4328478,17908.1158956,DMHp
581,Dorsomedial nucleus of the hypothalamus ventral part,225002.255074,140075.169131,84927.0859434,119124.029065,17864.1944375,3086.94562766,11425.7078426,64745.677775,8755.70032573,DMHv
582,Median preoptic nucleus,156637.837838,82832.4324324,73805.4054054,63891.8918919,17275.6756757,1664.86486486,11929.7297297,50475.6756757,11400.0,MEPO
583,Medial preoptic area,115927.61149,53065.9535927,62861.657897,27311.3775554,24278.3748814,1476.20115587,6876.42542914,52906.9610972,3078.27137065,MPO
584,Vascular organ of the lamina terminalis,211705.56553,146499.102334,65206.4631957,142132.854578,3217.23518851,1149.01256732,29529.6229803,22807.8994614,12868.940754,OV
585,Posterodorsal preoptic nucleus,180387.096774,126709.677419,53677.4193548,28645.1612903,93419.3548387,4645.16129032,14193.5483871,39483.8709677,0.0,PD
586,Parastrial nucleus,121092.282785,70320.561252,50771.7215326,13470.0485699,55261.7377226,1588.77495953,8600.10793308,42171.6135996,0.0,PS
587,Periventricular hypothalamic nucleus posterior part,273496.736766,192038.675369,81458.0613971,140600.435098,49489.001692,1949.23857868,17666.9083877,37329.4657965,26461.687213,PVp
588,Periventricular hypothalamic nucleus preoptic part,156292.40104,84636.8101705,71655.5908697,65312.9153424,17428.488876,1895.40595204,10078.0121352,41846.8650679,19730.7136666,PVpo
589,Subparaventricular zone,160856.151349,102272.472853,58583.6784955,62345.0128736,37942.9083175,1984.55166238,13662.5993507,32634.0535095,12287.0256353,SBPV
590,Suprachiasmatic nucleus,209360.824742,130639.175258,78721.6494845,74587.628866,55154.6391753,896.907216495,18804.1237113,35072.1649485,24845.3608247,SCH
591,Subfornical organ,381634.365634,263416.583417,118217.782218,251524.475524,9974.02597403,1918.08191808,27364.6353646,48655.3446553,42197.8021978,SFO
592,Ventrolateral preoptic nucleus,69327.7486911,37093.1937173,32234.5549738,33407.3298429,3518.32460733,167.539267016,14274.3455497,17089.0052356,871.204188482,VLPO
593,Hypothalamic medial zone,172298.900505,103819.215584,68479.6849208,82438.3114689,19108.935932,2271.96818318,11493.9040283,49421.4087824,7564.37211008,MEZ 
594,Anterior hypothalamic nucleus,147227.599425,86746.8327743,60480.7666507,40358.9458553,44443.6607571,1944.22616195,10774.8155247,48124.8107331,1581.14039291,AHN
595,Anterior hypothalamic nucleus anterior part,126318.193615,64643.6542954,61674.53932,44349.8572541,19010.6410589,1283.15598235,8961.32883467,52459.9013756,253.309109785,AHNa
596,Anterior hypothalamic nucleus central part,147077.200652,87849.2765692,59227.9240831,30162.4509906,55590.5763159,2096.24926269,11238.4719475,46119.7043822,1869.74775337,AHNc
597,Anterior hypothalamic nucleus posterior part,188349.534122,125638.881894,62710.6522287,69616.7212289,53346.7640393,2675.39662554,12611.4328884,46988.6678419,3110.55149836,AHNp
598,Mammillary body,175059.886627,105706.360993,69353.5256343,100401.029138,3370.88710858,1934.44474659,16245.3197231,43667.5800615,9440.62584977,MBO
599,Lateral mammillary nucleus,192094.5906,118824.711794,73269.8788058,103690.215785,13848.0638487,1286.4321608,34279.6334614,38611.8829441,378.362400236,LM
600,Medial mammillary nucleus,181124.321931,110308.424665,70815.8972656,108145.097605,458.171888262,1705.15517178,17103.5093546,43564.1167571,10148.2711539,MM
601,Medial mammillary nucleus median part,234716.510903,150380.062305,84336.4485981,148186.915888,0.0,2193.14641745,9669.78193146,39925.2336449,34741.4330218,Mmme
602,Supramammillary nucleus,152481.484064,85526.7452403,66954.7388242,82692.5169119,316.89797057,2517.33035777,8797.26619708,47677.5228398,10479.9497873,SUM
603,Supramammillary nucleus lateral part,146340.033667,79304.4855926,67035.5480741,76497.0789187,361.223883553,2446.18279038,6698.48499851,55736.2115061,4600.85156946,SUMl
604,Supramammillary nucleus medial part,167109.433962,100347.169811,66762.2641509,97449.0566038,211.320754717,2686.79245283,13796.2264151,28483.0188679,24483.0188679,SUMm
605,Tuberomammillary nucleus,209146.684528,145982.585399,63164.0991293,111432.016075,32600.1339585,1950.43536504,23791.0247823,31078.3657066,8294.70864032,TM
606,Tuberomammillary nucleus dorsal part,215374.562427,148835.472579,66539.0898483,136961.493582,8961.49358226,2912.48541424,1493.58226371,38609.1015169,26436.4060677,TMd
607,Tuberomammillary nucleus ventral part,206639.736966,144834.194457,61805.5425082,101155.472053,42115.5472053,1563.17519962,32766.557069,28046.9704086,992.015030531,TMv
608,Medial preoptic nucleus,151933.373959,78486.5596858,73446.8142731,27582.0976369,49015.0991943,1889.36285463,10205.1594556,57434.8974203,5806.75739725,MPN
609,Medial preoptic nucleus central part,199191.011236,110022.47191,89168.5393258,25743.8202247,80970.7865169,3307.86516854,13806.741573,73204.494382,2157.30337079,MPNc
610,Medial preoptic nucleus lateral part,146183.492272,76111.8053272,70071.6869451,20077.6060506,54150.6083525,1883.59092404,10754.3571194,58254.521539,1062.80828675,MPNl
611,Medial preoptic nucleus medial part,153318.299144,78893.6285831,74424.6705611,34943.0783861,42176.8781416,1773.67205543,9824.75207173,54010.0529819,10589.8655074,MPNm
612,Dorsal premammillary nucleus,196391.437309,123058.103976,73333.3333333,109174.311927,11253.82263,2629.96941896,6018.34862385,64868.5015291,2446.48318043,PMd
613,Ventral premammillary nucleus,247798.367057,165668.441605,82129.9254526,102747.603834,60274.0504082,2646.78736244,13290.7348243,65351.7926873,3487.39794107,PMv
614,Paraventricular hypothalamic nucleus descending division,181082.795068,115241.338814,65841.4562537,97540.8103347,14750.4403993,2950.08807986,14449.7944803,38896.0657663,12495.596007,PVHd
615,Paraventricular hypothalamic nucleus descending division dorsal parvicellular part,155655.172414,98896.5517241,56758.6206897,89448.2758621,6758.62068966,2689.65517241,9448.27586207,17724.137931,29586.2068966,PVHdp
616,Paraventricular hypothalamic nucleus descending division forniceal part,172695.652174,113565.217391,59130.4347826,86782.6086957,25739.1304348,1043.47826087,16347.826087,42782.6086957,0.0,PVHf
617,Paraventricular hypothalamic nucleus descending division lateral parvicellular part,181641.618497,111315.606936,70326.0115607,88527.1676301,19310.982659,3477.4566474,14982.6589595,49683.2369942,5660.11560694,PVHlp
618,Paraventricular hypothalamic nucleus descending division medial parvicellular part ventral zone,248757.894737,174652.631579,74105.2631579,168757.894737,2863.15789474,3031.57894737,22400.0,37726.3157895,13978.9473684,PVHmpv
619,Ventromedial hypothalamic nucleus,214051.108197,134535.708575,79515.3996226,127140.307673,4773.33930342,2622.06159849,13945.4376819,60237.8226245,5332.13931621,VMH
620,Ventromedial hypothalamic nucleus anterior part,179674.074074,114785.185185,64888.8888889,103288.888889,8888.88888889,2607.40740741,12325.9259259,52562.962963,0.0,VMHa
621,Ventromedial hypothalamic nucleus central part,208292.455965,126986.152653,81306.3033123,121924.00576,2389.2766146,2672.87027805,15243.1594107,62489.8637421,3573.28015952,VMHc
622,Ventromedial hypothalamic nucleus dorsomedial part,238554.168747,156581.128308,81973.0404393,144111.832252,9146.28057913,3323.01547678,11039.4408387,54230.654019,16702.9455816,VMHdm
623,Ventromedial hypothalamic nucleus ventrolateral part,205897.170672,127907.514451,77989.6562215,122338.910861,3407.36233648,2161.24125342,14958.3206571,62982.6589595,48.6766048068,VMHvl
624,Posterior hypothalamic nucleus,163557.830092,97981.5762538,65576.2538383,91894.9164108,3353.12180143,2733.53804162,6401.91061071,44121.4602525,15052.8829751,PH
625,Hypothalamic lateral zone,131433.460982,67477.4377098,63956.0232721,50549.0436204,15283.2360382,1645.15805121,9679.54243412,52958.6910938,1317.78974415,LZ
626,Lateral hypothalamic area,129133.945625,67548.8550365,61585.0905889,52170.7554675,13586.1115483,1791.98802074,9112.94789278,52403.5342213,68.6084748142,LHA
627,Lateral preoptic area,102285.267508,47073.3832235,55211.8842846,23946.386686,21740.198816,1386.79772143,8256.45035184,44254.2164638,2701.217469,LPO
628,Preparasubthalamic nucleus,147898.477157,78213.1979695,69685.2791878,72852.7918782,3573.60406091,1786.80203046,5928.93401015,63756.3451777,0.0,PST
629,Parasubthalamic nucleus,179066.31042,99443.2839446,79623.0264756,96800.5829487,279.815399563,2362.88559631,14394.9477775,65165.8974982,62.1811999028,PSTN
630,Retrochiasmatic area,101879.129734,48339.5111469,53539.6185872,43796.9379533,4233.14531292,309.427880741,10318.5603008,40526.4571582,2694.60112812,RCH
631,Subthalamic nucleus,176321.049821,93560.99794,82760.0518807,85138.0178531,6728.61829557,1694.36179141,10683.7567712,71656.3668269,419.928282597,STN
632,Tuberal nucleus,137660.896906,73694.7873573,63966.1095482,55226.6093,17870.8588449,597.319212312,18800.7281152,45057.3556181,108.025814993,TU
633,Zona incerta,146516.521953,75152.4596456,71364.0623076,56501.9950901,16774.804655,1875.6599005,9102.99879064,59287.9085228,2973.15499424,ZI
634,Fields of Forel,129125.199787,62584.9760256,66540.2237613,48826.8513586,12138.5189132,1619.60575386,9666.48907832,56669.1529036,204.581779435,FF
635,Midbrain,133707.298332,56554.5881665,77152.7101654,46822.1089336,5795.29619921,3937.18303371,9323.47306856,47635.0847285,20194.1523684,MB
636,Midbrain sensory related,147090.904262,54295.6128189,92795.2914429,49741.2878768,3746.10763175,808.217310393,11082.0509279,47528.3227005,34184.9178145,MBsen
637,Superior colliculus sensory related,162796.834917,65024.7738796,97772.0610374,58728.5230817,5396.34594308,899.904854813,13070.7807927,44247.9555829,40453.3246619,SCs
638,Superior colliculus optic layer,159518.410565,55476.0573434,104042.353221,51240.7352329,3157.93230623,1077.38980429,11683.7784784,56087.0858367,36271.4889061,SCop
639,Superior colliculus superficial gray layer,165578.735983,61026.4303444,104552.305639,55198.2338194,4858.29393936,969.902585659,12470.6322577,49199.2067155,42882.4666658,SCsg
640,Superior colliculus zonal layer,160638.567356,77300.3233398,83338.2440163,68960.3765282,7661.58379092,678.363020644,14883.5785486,29037.3658331,39417.2996346,SCzo
641,Inferior colliculus,140455.637457,48912.0838766,91543.5535805,45395.396365,2805.14116927,711.546342372,10219.3246228,48243.9660449,33080.2629128,IC
642,Inferior colliculus central nucleus,155491.946634,57533.1337161,97958.8129183,55908.6522173,755.981649864,868.499848914,11336.7945865,45674.1843621,40947.8339697,ICc
643,Inferior colliculus dorsal nucleus,161861.716495,57189.5241374,104672.192358,53194.9262506,3226.86227259,767.735614226,13193.8670127,46291.2374547,45187.0878903,ICd
644,Inferior colliculus external nucleus,123398.686242,40712.0462694,82686.6399728,36302.6772395,3809.75111879,599.617911073,8404.70021721,50484.8132737,23797.1264819,ICe
645,Nucleus of the brachium of the inferior colliculus,132948.242812,57775.8466454,75172.3961661,50643.8338658,5725.23961661,1406.77316294,8309.77635783,61480.8945687,5381.72523962,NB
646,Nucleus sagulum,119225.441696,48474.9116608,70750.5300353,33684.8056537,13308.8339223,1481.27208481,4025.44169611,60743.4628975,5981.6254417,SAG
647,Parabigeminal nucleus,171934.200835,81850.2332433,90083.9675915,73239.3812914,6819.54333415,1791.30861773,22281.3650872,67284.0657992,518.536705131,PBG
648,Midbrain trigeminal nucleus,156907.085437,79506.4498037,77400.6356328,73823.144513,3266.4049355,2416.90035521,12945.9712096,49654.1409609,14800.5234623,MEV
649,Midbrain motor related,130153.935856,57290.1756362,72863.7602198,47247.5928107,6242.67363067,3799.90919487,8549.63182959,47614.06865,16700.0597402,MBmot
650,Substantia nigra reticular part,98167.005729,46069.8234538,52097.1822752,12610.6863089,15677.8674149,17781.2697299,9003.99859698,42839.5182977,253.665380568,SNr
651,Ventral tegmental area,124032.564045,59681.2308612,64351.333184,18290.8357607,2355.36634551,39035.0287549,5194.71207708,58655.9115692,500.70953768,VTA
652,Midbrain reticular nucleus retrorubral area,102106.835958,43227.1053278,58879.7306303,26357.8268037,15569.5696398,1299.70888429,6994.63365017,51763.8806075,121.216372628,RR
653,Midbrain reticular nucleus,107803.351599,45692.268315,62111.0832836,33719.5588814,10780.5993687,1192.11006498,5970.76639815,51037.5644353,5102.75245012,MRN
654,Superior colliculus motor related,142266.50335,56567.3397793,85699.1635703,52593.1329278,2664.02074765,1310.18610391,8890.43386229,47398.810705,29409.9190029,SCm
655,Superior colliculus motor related deep gray layer,129127.740086,50175.2181688,78952.5219173,46773.137947,2177.0398698,1225.04035202,7927.18553891,45470.085928,25555.2504504,SCdg
656,Superior colliculus motor related deep white layer,124302.752294,49302.7522936,75000.0,46403.6697248,1513.76146789,1385.32110092,7844.03669725,43623.853211,23532.1100917,SCdw
657,Superior colliculus motor related intermediate white layer,132331.506573,48220.0181555,84111.4884174,44641.6299634,2402.44763474,1175.94055744,8496.25121877,45213.9999328,30401.2372659,SCiw
658,Superior colliculus motor related intermediate gray layer,154295.313469,63312.1030552,90983.2104133,58814.7575886,3096.54236923,1400.8030974,9674.53893765,49394.3351988,31914.3362768,SCig
659,Superior colliculus motor related intermediate gray layer sublayer a,175804.979493,83245.104269,92559.8752238,78119.1150136,3318.12142568,1807.8678297,12168.9099417,45864.017099,34526.9481832,SCig-a
660,Superior colliculus motor related intermediate gray layer sublayer b,151414.465697,69066.7170259,82347.7486713,63677.1252057,3907.30299188,1482.28882834,9837.32160682,43208.2445302,29302.1825343,SCig-b
661,Superior colliculus motor related intermediate gray layer sublayer c,161381.916329,78589.2937472,82792.6225821,72079.1722897,4584.79532164,1925.32613585,10349.9775079,46322.9869546,26119.6581197,SCig-c
662,Periaqueductal gray,139757.922562,67342.4833201,72415.4392417,61480.7493392,4030.22036185,1831.51361912,10526.2673982,43857.6086233,18031.5632202,PAG
663,Precommissural nucleus,189073.249696,104676.64913,84396.6005666,98784.2978551,3069.20275192,2823.14852287,10386.0785107,52707.4059085,21303.1161473,PRC
664,Interstitial nucleus of Cajal,142532.844281,67563.8546182,74968.9896632,57192.3974658,8877.62587529,1493.83127709,9539.17972658,44857.6192064,20572.1907302,INC
665,Nucleus of Darkschewitsch,215380.292106,120545.757072,94834.5350342,104643.372158,13157.3303753,2745.05453873,13606.9513773,43897.2083564,37330.3753004,ND
666,Pretectal region,159879.807153,76378.0692903,83501.737863,70255.4097993,4267.74302052,1854.91647046,9776.88081624,44411.5558545,29313.3011922,PRT
667,Anterior pretectal nucleus,158494.739853,74931.4432826,83563.2965706,70570.2571274,2659.63194864,1701.55420653,10247.9738105,42482.9164415,30832.4063185,APN
668,Medial pretectal area,174601.105963,94158.7206696,80442.3852937,80997.1603647,10894.6345838,2266.92572112,16078.9119713,56883.5749514,7479.89837095,MPT
669,Nucleus of the optic tract,169134.105793,78431.4357683,90702.6700252,66211.7884131,10291.5869018,1928.0604534,12367.9596977,45493.1989924,32841.511335,NOT
670,Nucleus of the posterior commissure,144604.004815,67914.6514936,76689.3533209,62088.1934566,3872.63376737,1953.82426961,5984.02451034,44283.1819674,26422.1468432,NPC
671,Olivary pretectal nucleus,180486.637415,90294.3757479,90192.2616673,84116.4738732,3956.92062226,2220.98125249,9203.03151177,47329.8763462,33659.3538093,OP
672,Posterior pretectal nucleus,177213.16166,85104.434907,92108.7267525,76986.1707201,5661.42107773,2456.8431092,3738.67429661,47961.8502623,40408.2021936,PPT
673,Cuneiform nucleus,111734.544443,44682.5470387,67051.9974048,39100.5653907,4371.86022801,1210.12141996,9369.54305311,42793.2153119,14889.2390398,CUN
